benchmark,monitor,repetition,time,status
100_1_frz_current_10_20_1_100000_int,staticmon,0,1.3064e-2,ok
100_1_frz_once_10_20_1_100000_int,staticmon,0,1.4166e-2,ok
100_1_frz_once_inf_20_1_100000_int,staticmon,0,2.1767e-2,ok
100_1_frz_since_10_20_1_100000_int,staticmon,0,1.5815e-2,ok
100_1_frz_eventually_10_20_1_100000_int,staticmon,0,2.7675e-2,ok
100_1_frz_nested_10_20_1_100000_int,staticmon,0,8.4649e-2,ok
200_1_frz_current_10_20_1_100000_int,staticmon,0,1.3241e-2,ok
200_1_frz_once_10_20_1_100000_int,staticmon,0,1.4703e-2,ok
200_1_frz_once_inf_20_1_100000_int,staticmon,0,3.9865e-2,ok
200_1_frz_since_10_20_1_100000_int,staticmon,0,1.7617e-2,ok
200_1_frz_eventually_10_20_1_100000_int,staticmon,0,5.4573e-2,ok
200_1_frz_nested_10_20_1_100000_int,staticmon,0,0.255646,ok
400_1_frz_current_10_20_1_100000_int,staticmon,0,1.5567e-2,ok
400_1_frz_once_10_20_1_100000_int,staticmon,0,2.1556e-2,ok
400_1_frz_once_inf_20_1_100000_int,staticmon,0,0.107146,ok
400_1_frz_since_10_20_1_100000_int,staticmon,0,1.6557e-2,ok
400_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.148332,ok
400_1_frz_nested_10_20_1_100000_int,staticmon,0,0.967289,ok
800_1_frz_current_10_20_1_100000_int,staticmon,0,1.9483e-2,ok
800_1_frz_once_10_20_1_100000_int,staticmon,0,3.2522e-2,ok
800_1_frz_once_inf_20_1_100000_int,staticmon,0,0.354188,ok
800_1_frz_since_10_20_1_100000_int,staticmon,0,4.0285e-2,ok
800_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.508347,ok
800_1_frz_nested_10_20_1_100000_int,staticmon,0,3.81009,ok
