benchmark,monitor,repetition,time,status
100_1_frz_current_10_20_1_100000_int,staticmon,0,1.4919e-2,ok
100_1_frz_current_10_20_1_100000_int,monpoly,0,1.399e-2,ok
100_1_frz_current_10_20_1_100000_int,verimon,0,2.4612e-2,ok
100_1_frz_once_10_20_1_100000_int,staticmon,0,1.5243e-2,ok
100_1_frz_once_10_20_1_100000_int,monpoly,0,1.2996e-2,ok
100_1_frz_once_10_20_1_100000_int,verimon,0,0.117151,ok
100_1_frz_once_inf_20_1_100000_int,staticmon,0,2.295e-2,ok
100_1_frz_once_inf_20_1_100000_int,monpoly,0,1.8633e-2,ok
100_1_frz_once_inf_20_1_100000_int,verimon,0,9.4097e-2,ok
100_1_frz_since_10_20_1_100000_int,staticmon,0,1.5754e-2,ok
100_1_frz_since_10_20_1_100000_int,monpoly,0,1.8229e-2,ok
100_1_frz_since_10_20_1_100000_int,verimon,0,0.312444,ok
100_1_frz_eventually_10_20_1_100000_int,staticmon,0,2.8342e-2,ok
100_1_frz_eventually_10_20_1_100000_int,monpoly,0,4.0829e-2,ok
100_1_frz_eventually_10_20_1_100000_int,verimon,0,0.55342,ok
100_1_frz_nested_10_20_1_100000_int,staticmon,0,8.4618e-2,ok
100_1_frz_nested_10_20_1_100000_int,monpoly,0,6.7812e-2,ok
100_1_frz_nested_10_20_1_100000_int,verimon,0,1.632336,ok
200_1_frz_current_10_20_1_100000_int,staticmon,0,1.2232e-2,ok
200_1_frz_current_10_20_1_100000_int,monpoly,0,9.425e-3,ok
200_1_frz_current_10_20_1_100000_int,verimon,0,6.3358e-2,ok
200_1_frz_once_10_20_1_100000_int,staticmon,0,1.5137e-2,ok
200_1_frz_once_10_20_1_100000_int,monpoly,0,1.5073e-2,ok
200_1_frz_once_10_20_1_100000_int,verimon,0,0.410394,ok
200_1_frz_once_inf_20_1_100000_int,staticmon,0,4.1537e-2,ok
200_1_frz_once_inf_20_1_100000_int,monpoly,0,4.0431e-2,ok
200_1_frz_once_inf_20_1_100000_int,verimon,0,0.330567,ok
200_1_frz_since_10_20_1_100000_int,staticmon,0,1.7491e-2,ok
200_1_frz_since_10_20_1_100000_int,monpoly,0,2.8399e-2,ok
200_1_frz_since_10_20_1_100000_int,verimon,0,1.193931,ok
200_1_frz_eventually_10_20_1_100000_int,staticmon,0,5.4911e-2,ok
200_1_frz_eventually_10_20_1_100000_int,monpoly,0,0.119255,ok
200_1_frz_eventually_10_20_1_100000_int,verimon,0,2.110118,ok
200_1_frz_nested_10_20_1_100000_int,staticmon,0,0.259872,ok
200_1_frz_nested_10_20_1_100000_int,monpoly,0,0.291199,ok
200_1_frz_nested_10_20_1_100000_int,verimon,0,10.0,timeout
400_1_frz_current_10_20_1_100000_int,staticmon,0,1.4389e-2,ok
400_1_frz_current_10_20_1_100000_int,monpoly,0,1.2526e-2,ok
400_1_frz_current_10_20_1_100000_int,verimon,0,0.221568,ok
400_1_frz_once_10_20_1_100000_int,staticmon,0,1.7874e-2,ok
400_1_frz_once_10_20_1_100000_int,monpoly,0,2.2256e-2,ok
400_1_frz_once_10_20_1_100000_int,verimon,0,1.639715,ok
400_1_frz_once_inf_20_1_100000_int,staticmon,0,0.107368,ok
400_1_frz_once_inf_20_1_100000_int,monpoly,0,0.140014,ok
400_1_frz_once_inf_20_1_100000_int,verimon,0,1.370364,ok
400_1_frz_since_10_20_1_100000_int,staticmon,0,2.4754e-2,ok
400_1_frz_since_10_20_1_100000_int,monpoly,0,4.5696e-2,ok
400_1_frz_since_10_20_1_100000_int,verimon,0,4.96749,ok
400_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.15102,ok
400_1_frz_eventually_10_20_1_100000_int,monpoly,0,0.455939,ok
400_1_frz_eventually_10_20_1_100000_int,verimon,0,8.44327,ok
400_1_frz_nested_10_20_1_100000_int,staticmon,0,0.985001,ok
400_1_frz_nested_10_20_1_100000_int,monpoly,0,1.223947,ok
400_1_frz_nested_10_20_1_100000_int,verimon,0,10.0,disqualified
800_1_frz_current_10_20_1_100000_int,staticmon,0,1.8615e-2,ok
800_1_frz_current_10_20_1_100000_int,monpoly,0,1.8572e-2,ok
800_1_frz_current_10_20_1_100000_int,verimon,0,0.83861,ok
800_1_frz_once_10_20_1_100000_int,staticmon,0,3.1622e-2,ok
800_1_frz_once_10_20_1_100000_int,monpoly,0,3.9471e-2,ok
800_1_frz_once_10_20_1_100000_int,verimon,0,6.492938,ok
800_1_frz_once_inf_20_1_100000_int,staticmon,0,0.362014,ok
800_1_frz_once_inf_20_1_100000_int,monpoly,0,0.512868,ok
800_1_frz_once_inf_20_1_100000_int,verimon,0,5.339198,ok
800_1_frz_since_10_20_1_100000_int,staticmon,0,2.9593e-2,ok
800_1_frz_since_10_20_1_100000_int,monpoly,0,8.0666e-2,ok
800_1_frz_since_10_20_1_100000_int,verimon,0,10.0,timeout
800_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.519585,ok
800_1_frz_eventually_10_20_1_100000_int,monpoly,0,1.778297,ok
800_1_frz_eventually_10_20_1_100000_int,verimon,0,10.0,timeout
800_1_frz_nested_10_20_1_100000_int,staticmon,0,3.906828,ok
800_1_frz_nested_10_20_1_100000_int,monpoly,0,6.153835,ok
800_1_frz_nested_10_20_1_100000_int,verimon,0,10.0,disqualified
