benchmark,monitor,repetition,time,status
100_1_frz_current_10_20_1_100000_int,staticmon,0,1.3165e-2,ok
100_1_frz_once_10_20_1_100000_int,staticmon,0,1.525e-2,ok
100_1_frz_once_inf_20_1_100000_int,staticmon,0,2.232e-2,ok
100_1_frz_since_10_20_1_100000_int,staticmon,0,1.531e-2,ok
100_1_frz_eventually_10_20_1_100000_int,staticmon,0,2.8102e-2,ok
100_1_frz_nested_10_20_1_100000_int,staticmon,0,0.213883,ok
200_1_frz_current_10_20_1_100000_int,staticmon,0,1.173e-2,ok
200_1_frz_once_10_20_1_100000_int,staticmon,0,1.4582e-2,ok
200_1_frz_once_inf_20_1_100000_int,staticmon,0,4.031e-2,ok
200_1_frz_since_10_20_1_100000_int,staticmon,0,1.726e-2,ok
200_1_frz_eventually_10_20_1_100000_int,staticmon,0,5.3991e-2,ok
200_1_frz_nested_10_20_1_100000_int,staticmon,0,1.418491,ok
400_1_frz_current_10_20_1_100000_int,staticmon,0,1.5002e-2,ok
400_1_frz_once_10_20_1_100000_int,staticmon,0,2.0628e-2,ok
400_1_frz_once_inf_20_1_100000_int,staticmon,0,0.10569,ok
400_1_frz_since_10_20_1_100000_int,staticmon,0,2.6965e-2,ok
400_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.147208,ok
400_1_frz_nested_10_20_1_100000_int,staticmon,0,10.727868,ok
800_1_frz_current_10_20_1_100000_int,staticmon,0,1.845e-2,ok
800_1_frz_once_10_20_1_100000_int,staticmon,0,3.0796e-2,ok
800_1_frz_once_inf_20_1_100000_int,staticmon,0,0.35602,ok
800_1_frz_since_10_20_1_100000_int,staticmon,0,4.0568e-2,ok
800_1_frz_eventually_10_20_1_100000_int,staticmon,0,0.512561,ok
800_1_frz_nested_10_20_1_100000_int,staticmon,0,60.0,timeout
