benchmark,monitor,repetition,time,status
f00_P_x_SINCE_0_Q_x__e234300,staticmon,0,0.45808,ok
f00_P_x_SINCE_0_Q_x__e234300,staticmon,1,0.07348,ok
f00_P_x_SINCE_0_Q_x__e234300,monpoly,0,0.13066,ok
f00_P_x_SINCE_0_Q_x__e234300,monpoly,1,0.12831,ok
f00_P_x_SINCE_0_Q_x__e468750,staticmon,0,0.12818,ok
f00_P_x_SINCE_0_Q_x__e468750,staticmon,1,0.12034,ok
f00_P_x_SINCE_0_Q_x__e468750,monpoly,0,0.23275,ok
f00_P_x_SINCE_0_Q_x__e468750,monpoly,1,0.23661,ok
f00_P_x_SINCE_0_Q_x__e937500,staticmon,0,0.17672,ok
f00_P_x_SINCE_0_Q_x__e937500,staticmon,1,0.18325,ok
f00_P_x_SINCE_0_Q_x__e937500,monpoly,0,0.44829,ok
f00_P_x_SINCE_0_Q_x__e937500,monpoly,1,0.44699,ok
f00_P_x_SINCE_0_Q_x__e1875000,staticmon,0,0.34698,ok
f00_P_x_SINCE_0_Q_x__e1875000,staticmon,1,0.3423,ok
f00_P_x_SINCE_0_Q_x__e1875000,monpoly,0,0.87884,ok
f00_P_x_SINCE_0_Q_x__e1875000,monpoly,1,0.88404,ok
f00_P_x_SINCE_0_Q_x__e3750000,staticmon,0,0.66909,ok
f00_P_x_SINCE_0_Q_x__e3750000,staticmon,1,0.6656,ok
f00_P_x_SINCE_0_Q_x__e3750000,monpoly,0,1.75502,ok
f00_P_x_SINCE_0_Q_x__e3750000,monpoly,1,1.73658,ok
f01_P_x_SINCE_5_10_Q_x__e234300,staticmon,0,0.23644,ok
f01_P_x_SINCE_5_10_Q_x__e234300,staticmon,1,0.07785,ok
f01_P_x_SINCE_5_10_Q_x__e234300,monpoly,0,0.18504,ok
f01_P_x_SINCE_5_10_Q_x__e234300,monpoly,1,0.18359,ok
f01_P_x_SINCE_5_10_Q_x__e468750,staticmon,0,0.13088,ok
f01_P_x_SINCE_5_10_Q_x__e468750,staticmon,1,0.12482,ok
f01_P_x_SINCE_5_10_Q_x__e468750,monpoly,0,0.34781,ok
f01_P_x_SINCE_5_10_Q_x__e468750,monpoly,1,0.34425,ok
f01_P_x_SINCE_5_10_Q_x__e937500,staticmon,0,0.18277,ok
f01_P_x_SINCE_5_10_Q_x__e937500,staticmon,1,0.17804,ok
f01_P_x_SINCE_5_10_Q_x__e937500,monpoly,0,0.71962,ok
f01_P_x_SINCE_5_10_Q_x__e937500,monpoly,1,0.66441,ok
f01_P_x_SINCE_5_10_Q_x__e1875000,staticmon,0,0.28653,ok
f01_P_x_SINCE_5_10_Q_x__e1875000,staticmon,1,0.28347,ok
f01_P_x_SINCE_5_10_Q_x__e1875000,monpoly,0,1.3044,ok
f01_P_x_SINCE_5_10_Q_x__e1875000,monpoly,1,1.3125,ok
f01_P_x_SINCE_5_10_Q_x__e3750000,staticmon,0,0.5551,ok
f01_P_x_SINCE_5_10_Q_x__e3750000,staticmon,1,0.56017,ok
f01_P_x_SINCE_5_10_Q_x__e3750000,monpoly,0,2.60593,ok
f01_P_x_SINCE_5_10_Q_x__e3750000,monpoly,1,2.53992,ok
f02_P_x_UNTIL_0_10_Q_x__e234300,staticmon,0,0.24092,ok
f02_P_x_UNTIL_0_10_Q_x__e234300,staticmon,1,0.07646,ok
f02_P_x_UNTIL_0_10_Q_x__e234300,monpoly,0,0.12823,ok
f02_P_x_UNTIL_0_10_Q_x__e234300,monpoly,1,0.12909,ok
f02_P_x_UNTIL_0_10_Q_x__e468750,staticmon,0,0.13068,ok
f02_P_x_UNTIL_0_10_Q_x__e468750,staticmon,1,0.13054,ok
f02_P_x_UNTIL_0_10_Q_x__e468750,monpoly,0,0.23623,ok
f02_P_x_UNTIL_0_10_Q_x__e468750,monpoly,1,0.23464,ok
f02_P_x_UNTIL_0_10_Q_x__e937500,staticmon,0,0.17663,ok
